Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10 uF,CP_Elec_4x5.4,116.5,-78.6,90.0,top
C2,10 uF,CP_Elec_4x5.4,134.5,-78.6,90.0,top
